_id,year,month,date,time,location,indicator,unit,value,note
1,2023,June,2023-01-06T00:00:00,00:00,Central University,CO,mg/m³,0.56105,""
2,2023,June,2023-01-06T00:00:00,00:00,Central University,Ozone,µg/m³,34.692,""
3,2023,June,2023-01-06T00:00:00,00:00,Central University,NO,µg/m³,1.6482,""
4,2023,June,2023-01-06T00:00:00,00:00,Central University,NO2,µg/m³,41.3224,""
5,2023,June,2023-01-06T00:00:00,00:00,Central University,NOx,PPB,23.31,""
6,2023,June,2023-01-06T00:00:00,00:00,Central University,NH3,µg/m³,6.195,""
7,2023,June,2023-01-06T00:00:00,00:00,Central University,SO2,µg/m³,2.751,""
8,2023,June,2023-01-06T00:00:00,00:00,Central University,PM2.5,µg/m³,32.0,""
9,2023,June,2023-01-06T00:00:00,00:00,Central University,PM10,µg/m³,92.0,""
10,2023,June,2023-01-06T00:00:00,00:00,Central University,Benzene,µg/m³,0.4147,""
11,2023,June,2023-01-06T00:00:00,00:00,Central University,Toluene,µg/m³,0.5655,""
12,2023,June,2023-01-06T00:00:00,00:00,Central University,Xylene,µg/m³,0.0,""
13,2023,June,2023-01-06T00:00:00,00:00,Central University,AT,°C,25.9,""
14,2023,June,2023-01-06T00:00:00,00:00,Central University,RH,%,59.5,""
15,2023,June,2023-01-06T00:00:00,00:00,Central University,WS,m/s,0.3,""
16,2023,June,2023-01-06T00:00:00,00:00,Central University,WD,°,328.0,""
17,2023,June,2023-01-06T00:00:00,00:00,Central University,SR,W/m²,24.0,""
18,2023,June,2023-01-06T00:00:00,00:00,Central University,BP,mmHg,710.51,""
19,2023,June,2023-01-06T00:00:00,00:00,Central University,RF,mm,0.0,""
20,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,CO,mg/m³,0.2977,""
21,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,Ozone,µg/m³,53.9,""
22,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,NO,µg/m³,7.2939,""
23,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,NO2,µg/m³,2.4628,""
24,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,NOx,ppb,7.24,""
25,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,NH3,µg/m³,3.514,""
26,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,SO2,µg/m³,16.6108,""
27,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,PM2.5,µg/m³,36.0,""
28,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,PM10,µg/m³,92.0,""
29,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,Benzene,µg/m³,0.0,""
30,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,Toluene,µg/m³,0.0,""
31,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,Xylene,µg/m³,0.0,""
32,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,AT,°C,27.66,""
33,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,RH,%,61.65,""
34,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,WS,m/s,0.27,""
35,2023,June,2023-01-06T00:00:00,00:00,ICRISAT Patancheru,WD,°,348.0,""
